contigName	bin	contigLen	totalAvgDepth	L1.sorted.bam	L1.sorted.bam-var	L2.sorted.bam	L2.sorted.bam-var	L3.sorted.bam	L3.sorted.bam-var	P1.sorted.bam	P1.sorted.bam-var	P2.sorted.bam	P2.sorted.bam-var	P3.sorted.bam	P3.sorted.bam-var
NODE_1264_length_9291_cov_23.3464_ID_23997363	3	9291	3.76983	0.033038	0.0319513	0.0329286	0.0318552	0	0	0.725522	0.722805	1.69927	1.65732	1.27907	0.914154
NODE_1265_length_9291_cov_27.5541_ID_23980315	3	9291	4.70517	0	0	0	0	0.0329286	0.0318509	0.807133	0.644255	2.38716	2.02759	1.47796	1.2964
NODE_1268_length_9286_cov_32.7678_ID_23914680	3	9286	3.29805	0	0	0	0	0	0	0.626423	0.59337	1.3681	1.17221	1.30352	1.67258
NODE_126_length_46242_cov_280.838_ID_23936628	2	46242	202.135	41.6457	64.7162	41.9769	60.7261	41.4579	61.9767	24.6123	33.2895	25.9552	33.632	26.4872	35.8622
NODE_12701_length_2948_cov_24.7847_ID_24124401	3	2948	4.44639	0	0	0	0	0	0	0.632595	0.437001	2.25947	2.50115	1.55432	1.23464
NODE_1271_length_9275_cov_279.881_ID_23962361	2	9275	203.143	40.7112	49.6751	42.459	43.1873	43.0929	66.6008	25.4013	29.9812	26.7793	26.7451	24.6992	36.353
NODE_1277_length_9235_cov_263.858_ID_23958390	2	9235	196.453	39.625	70.6909	41.7351	54.3435	40.1089	61.285	23.0226	26.133	26.7237	39.42	25.2379	29.0743
NODE_127_length_46117_cov_326.899_ID_23924033	2	46117	204.265	41.7445	127.06	43.4061	135.046	41.69	122.101	24.3598	57.5038	26.2264	64.7739	26.8385	62.3049
NODE_12802_length_2939_cov_34.9549_ID_24128376	3	2939	4.83435	0.108283	0.0965879	0.020796	0.0203708	0	0	0.500896	0.451668	1.89423	4.40738	2.31015	2.70259
NODE_1280_length_9224_cov_28.7141_ID_23983495	3	9224	4.23694	0	0	0	0	0	0	0.498016	0.433868	2.29138	2.44582	1.44754	1.43851
NODE_1283_length_9182_cov_24.6228_ID_23959190	3	9182	4.26539	0	0	0.033326	0.0322099	0	0	0.617803	0.587592	1.82927	1.57133	1.78499	1.9431
NODE_12849_length_2933_cov_324.378_ID_24160212	2	2933	209.372	46.7136	79.0543	42.6497	50.3996	42.4283	48.4211	23.0816	40.9778	27.3773	35.2163	27.1211	29.3135
NODE_12902_length_2928_cov_260.824_ID_24134280	2	2928	196.592	41.2419	37.0729	40.7477	37.988	39.6184	42.2821	24.6479	19.8793	26.7963	33.1914	23.54	16.3242
NODE_1290_length_9164_cov_29.2109_ID_23963711	3	9164	5.43299	0.0323941	0.0637388	0.0333925	0.0322906	0.0335034	0.0323882	0.984912	1.05461	2.40504	3.04544	1.94375	2.03124
NODE_1294_length_9155_cov_28.5388_ID_24001031	3	9155	4.04042	0.0335369	0.0324198	0.0670738	0.0625865	0	0	0.629983	0.627865	1.89106	1.91404	1.41877	1.49152
NODE_129_length_45913_cov_289.448_ID_23910811	2	45913	208.467	42.8298	51.9147	42.4891	46.1178	43.3211	51.4154	25.6194	31.0396	26.9715	29.5217	27.2361	33.77
NODE_1300_length_9135_cov_304.15_ID_23978648	2	9135	203.015	41.5529	50.2787	41.4166	49.1309	43.0891	55.9768	25.1612	31.9326	25.7797	20.8379	26.0156	39.953
NODE_1305_length_9111_cov_335.138_ID_24799261	2	9111	204.238	38.9077	87.4173	43.9275	70.2949	42.5801	84.1734	24.5367	38.3099	27.5471	45.9106	26.7391	47.5521
